pincode,District,State,Population_Density,Fire_Brigade_Vehicles,Ambulances,Police_Personnel,Paramedics,Doctors,Special_Requirement
560063,Bangalore Urban,Karnataka,22000,6,15,330,30,550,AF Station Yelahanka high security
560064,Bangalore Urban,Karnataka,30000,6,14,320,28,560,Yelahanka residential industrial
560065,Bangalore Urban,Karnataka,24000,5,13,300,26,510,GKVK agricultural university campus
560066,Bangalore Urban,Karnataka,38000,8,22,480,45,800,Whitefield major IT and residential hub
560067,Bangalore Urban,Karnataka,32000,6,15,350,30,600,Kadugodi residential and industrial
560068,Bangalore Urban,Karnataka,47000,7,19,410,38,720,Bommanahalli Hongasandra industrial residential
560069,Bangalore Urban,Karnataka,49000,6,18,400,36,710,Jayanagar East residential
560070,Bangalore Urban,Karnataka,46000,7,19,420,38,730,Banashankari II Stage residential
560071,Bangalore Urban,Karnataka,36000,6,17,380,34,670,Domlur residential and commercial
560072,Bangalore Urban,Karnataka,41000,6,16,360,32,650,Nagarbhavi residential area
560073,Bangalore Urban,Karnataka,33000,5,14,320,28,570,Nagasandra Bagalgunte industrial residential
560074,Bangalore Rural,Karnataka,20000,4,10,250,20,400,Kumbalgodu industrial area
560075,Bangalore Urban,Karnataka,37000,6,16,370,32,640,Jeevanbhimanagar New Thippasandra residential
560076,Bangalore Urban,Karnataka,44000,7,18,400,36,710,Bannerghatta Road commercial and hospitals
560077,Bangalore Urban,Karnataka,35000,6,15,340,30,610,Kothanur Hegde Nagar residential
560078,Bangalore Urban,Karnataka,48000,7,20,440,40,760,JP Nagar residential and commercial hub
560079,Bangalore Urban,Karnataka,47000,7,19,410,38,720,Basaveshwaranagar residential
560080,Bangalore Urban,Karnataka,32000,6,16,380,34,660,Sadashivanagar affluent residential
560081,Bangalore Urban,Karnataka,27000,5,14,310,28,530,Chandapura developing residential area
560082,Bangalore Rural,Karnataka,25000,4,12,280,24,480,Kanakapura Road developing area
560083,Bangalore Rural,Karnataka,23000,4,11,270,22,460,Bannerghatta National Park area
560084,Bangalore Urban,Karnataka,40000,6,17,380,34,670,Lingarajapuram St Thomas Town residential
560085,Bangalore Urban,Karnataka,45000,6,18,400,36,700,Banashankari III Stage Girinagar residential
560086,Bangalore Urban,Karnataka,43000,6,17,380,34,680,Mahalakshmi Layout residential
560087,Bangalore Urban,Karnataka,36000,6,16,370,32,650,Varthur Gunjur IT corridor
560088,Bangalore Rural,Karnataka,21000,4,10,240,20,390,Hesaraghatta rural and institutional area
560089,Bangalore Rural,Karnataka,15000,3,8,200,16,330,Hesaraghatta Lake area
560090,Bangalore Urban,Karnataka,28000,5,13,300,26,510,Chikkabanavara residential
560091,Bangalore Urban,Karnataka,26000,4,12,280,24,490,Viswaneedam industrial area
560092,Bangalore Urban,Karnataka,34000,6,15,350,30,620,Byatarayanapura Sahakaranagar residential
560093,Bangalore Urban,Karnataka,31000,6,16,370,32,640,CV Raman Nagar DRDO area
560094,Bangalore Urban,Karnataka,33000,6,16,380,34,660,RMV Extension II Stage residential
560095,Bangalore Urban,Karnataka,42000,7,19,420,38,730,Koramangala 6th Block commercial
560096,Bangalore Urban,Karnataka,39000,6,16,360,32,650,Nandhini Layout residential
560097,Bangalore Urban,Karnataka,37000,5,15,340,30,610,Vidyaranyapura residential
560100,Bangalore Urban,Karnataka,35000,8,20,450,40,780,Electronics City Phase 1 major IT hub
560102,Bangalore Urban,Karnataka,36000,7,18,410,36,720,HSR Layout planned residential hub
560103,Bangalore Urban,Karnataka,34000,7,17,390,34,690,Bellandur IT hub and residential
560104,Bangalore Urban,Karnataka,42000,6,17,380,34,680,Hampinagar residential
560105,Bangalore Urban,Karnataka,30000,6,16,370,32,650,Electronics City Phase 2
560108,Bangalore Urban,Karnataka,31000,5,14,320,28,560,Anjanapura residential layout
562110,Bangalore Rural,Karnataka,18000,7,16,350,30,550,Devanahalli International Airport area
562125,Bangalore Rural,Karnataka,19000,4,10,230,20,380,Sarjapur suburban town
